Player,Tm,PTS,Points_Running_Avg,player_points_line
Simone Fontecchio,UTA,13.0,10.857,8.5
Simone Fontecchio,UTA,0.0,11.0,8.5
Simone Fontecchio,UTA,0.0,11.0,8.5
Simone Fontecchio,UTA,0.0,10.667,8.5
Simone Fontecchio,UTA,0.0,10.667,8.5
Simone Fontecchio,UTA,10.0,10.885,8.5
Simone Fontecchio,UTA,10.0,10.885,8.5
Simone Fontecchio,UTA,10.0,10.633,8.5
Simone Fontecchio,UTA,10.0,10.633,8.5
Simone Fontecchio,UTA,18.0,11.148,8.5
Simone Fontecchio,UTA,18.0,11.148,8.5
Simone Fontecchio,UTA,18.0,10.754,8.5
Simone Fontecchio,UTA,18.0,10.754,8.5
Simone Fontecchio,UTA,10.0,11.107,10.5
Simone Fontecchio,UTA,10.0,11.107,10.5
Simone Fontecchio,UTA,10.0,10.742,10.5
Simone Fontecchio,UTA,10.0,10.742,10.5
Simone Fontecchio,UTA,5.0,10.897,9.5
Simone Fontecchio,UTA,5.0,10.897,9.5
Simone Fontecchio,UTA,5.0,10.651,9.5
Simone Fontecchio,UTA,5.0,10.651,9.5
Simone Fontecchio,UTA,5.0,10.7,7.5
Simone Fontecchio,UTA,5.0,10.7,7.5
Simone Fontecchio,UTA,5.0,10.562,7.5
Simone Fontecchio,UTA,5.0,10.562,7.5
Simone Fontecchio,UTA,14.0,10.806,7.5
Simone Fontecchio,UTA,14.0,10.806,7.5
Simone Fontecchio,UTA,14.0,10.615,7.5
Simone Fontecchio,UTA,14.0,10.615,7.5
Isaiah Stewart,DET,20.0,10.481,8.5
Isaiah Stewart,DET,12.0,10.774,9.5
Isaiah Stewart,DET,11.0,10.788,10.5
Isaiah Stewart,DET,11.0,10.794,9.5
Jalen Duren,DET,12.0,12.941,13.5
Jalen Duren,DET,17.0,13.167,12.5
Jalen Duren,DET,13.0,13.158,13.5
Jalen Duren,DET,20.0,13.5,12.5
Jalen Duren,DET,16.0,13.619,13.5
Jalen Duren,DET,15.0,14.0,14.5
Jalen Duren,DET,16.0,14.32,14.5
Jalen Duren,DET,8.0,14.077,15.5
Jalen Duren,DET,12.0,14.0,14.5
Jalen Duren,DET,14.0,14.0,14.5
Jalen Duren,DET,10.0,13.862,14.5
Jalen Duren,DET,22.0,14.133,13.5
Jaden Ivey,DET,11.0,15.357,13.5
Jaden Ivey,DET,22.0,15.412,15.5
Jaden Ivey,DET,18.0,15.737,18.5
Jaden Ivey,DET,32.0,16.905,17.5
Jaden Ivey,DET,18.0,16.955,20.5
Jaden Ivey,DET,17.0,16.957,20.5
Killian Hayes,DET,4.0,9.955,10.5
Killian Hayes,DET,8.0,9.231,
Killian Hayes,DET,2.0,8.963,6.5
Killian Hayes,DET,2.0,8.714,
Stephen Curry,GSW,33.0,28.24,28.5
Stephen Curry,GSW,30.0,28.308,29.5
Stephen Curry,GSW,18.0,27.893,28.5
Stephen Curry,GSW,13.0,27.379,27.5
Stephen Curry,GSW,25.0,27.3,28.5
Stephen Curry,GSW,36.0,27.581,28.5
Stephen Curry,GSW,30.0,27.656,27.5
Stephen Curry,GSW,9.0,27.059,30.5
Stephen Curry,GSW,15.0,26.714,28.5
Stephen Curry,GSW,27.0,26.722,27.5
Stephen Curry,GSW,26.0,26.703,26.5
Stephen Curry,GSW,25.0,26.658,28.5
Stephen Curry,GSW,33.0,26.821,27.5
Stephen Curry,GSW,46.0,27.3,27.5
Stephen Curry,GSW,37.0,27.537,27.5
Klay Thompson,GSW,24.0,17.115,19.5
Klay Thompson,GSW,20.0,17.222,21.5
Klay Thompson,GSW,9.0,17.31,20.5
Klay Thompson,GSW,13.0,17.167,18.5
Klay Thompson,GSW,3.0,16.71,17.5
Klay Thompson,GSW,15.0,16.656,15.5
Klay Thompson,GSW,24.0,16.879,15.5
Klay Thompson,GSW,25.0,17.171,18.5
Klay Thompson,GSW,13.0,17.056,18.5
Klay Thompson,GSW,30.0,17.405,18.5
Klay Thompson,GSW,21.0,17.5,19.5
Klay Thompson,GSW,9.0,17.282,18.5
Klay Thompson,GSW,24.0,17.45,19.5
Klay Thompson,GSW,16.0,17.415,19.5
Klay Thompson,GSW,24.0,17.571,18.5
Chris Paul,GSW,12.0,13.667,11.5
Chris Paul,GSW,9.0,13.2,10.5
Andrew Wiggins,GSW,7.0,11.708,13.5
Andrew Wiggins,GSW,17.0,12.074,12.5
Andrew Wiggins,GSW,22.0,12.429,14.5
Andrew Wiggins,GSW,23.0,12.793,13.5
Draymond Green,GSW,9.0,9.529,9.5
Brandin Podziemski,GSW,13.0,10.857,10.5
Jonathan Kuminga,GSW,13.0,15.125,12.5
Jonathan Kuminga,GSW,10.0,14.556,12.5
Jonathan Kuminga,GSW,19.0,15.091,12.5
Jonathan Kuminga,GSW,16.0,15.167,13.5
Jonathan Kuminga,GSW,26.0,15.647,19.5
Fred VanVleet,HOU,32.0,17.708,18.5
Fred VanVleet,HOU,10.0,17.4,20.5
Fred VanVleet,HOU,10.0,17.115,17.5
Fred VanVleet,HOU,18.0,17.148,19.5
Fred VanVleet,HOU,21.0,17.484,18.5
Fred VanVleet,HOU,7.0,17.156,18.5
Fred VanVleet,HOU,14.0,17.061,18.5
Fred VanVleet,HOU,32.0,17.5,16.5
Fred VanVleet,HOU,20.0,17.571,17.5
Fred VanVleet,HOU,20.0,17.639,19.5
Fred VanVleet,HOU,5.0,17.297,17.5
Fred VanVleet,HOU,8.0,17.053,17.5
Fred VanVleet,HOU,24.0,17.231,15.5
Fred VanVleet,HOU,18.0,17.25,17.5
Fred VanVleet,HOU,18.0,17.268,16.5
Fred VanVleet,HOU,14.0,17.19,16.5
Fred VanVleet,HOU,13.0,17.093,15.5
Fred VanVleet,HOU,3.0,16.773,14.5
Jabari Smith Jr.,HOU,34.0,13.2,13.5
Jabari Smith Jr.,HOU,21.0,13.5,14.5
Jabari Smith Jr.,HOU,26.0,13.963,14.5
Jabari Smith Jr.,HOU,10.0,13.821,17.5
Jabari Smith Jr.,HOU,7.0,13.29,13.5
Jabari Smith Jr.,HOU,16.0,13.375,12.5
Jabari Smith Jr.,HOU,14.0,13.394,13.5
Jabari Smith Jr.,HOU,10.0,13.294,13.5
Jabari Smith Jr.,HOU,18.0,13.429,13.5
Jabari Smith Jr.,HOU,19.0,13.583,15.5
Jabari Smith Jr.,HOU,9.0,13.459,13.5
Jabari Smith Jr.,HOU,13.0,13.447,13.5
Jabari Smith Jr.,HOU,11.0,13.385,13.5
Jabari Smith Jr.,HOU,24.0,13.65,13.5
Jabari Smith Jr.,HOU,18.0,13.756,12.5
Dillon Brooks,HOU,19.0,14.24,14.5
Dillon Brooks,HOU,10.0,14.077,13.5
Dillon Brooks,HOU,5.0,13.741,13.5
Dillon Brooks,HOU,9.0,13.571,11.5
Dillon Brooks,HOU,18.0,13.667,10.5
Dillon Brooks,HOU,11.0,13.581,11.5
Dillon Brooks,HOU,7.0,13.375,11.5
Dillon Brooks,HOU,14.0,13.735,11.5
Dillon Brooks,HOU,12.0,13.686,13.5
Dillon Brooks,HOU,19.0,13.833,13.5
Dillon Brooks,HOU,17.0,13.919,11.5
Jalen Green,HOU,16.0,17.44,17.5
Jalen Green,HOU,17.0,17.423,18.5
Jalen Green,HOU,9.0,17.111,17.5
Jalen Green,HOU,5.0,16.679,17.5
Jalen Green,HOU,14.0,17.406,19.5
Jalen Green,HOU,20.0,17.485,18.5
Jalen Green,HOU,16.0,17.441,19.5
Jalen Green,HOU,11.0,17.257,18.5
Jalen Green,HOU,18.0,17.278,17.5
Jalen Green,HOU,28.0,17.568,18.5
Jalen Green,HOU,10.0,17.368,19.5
Jalen Green,HOU,20.0,17.436,16.5
Jalen Green,HOU,15.0,17.375,17.5
Jalen Green,HOU,7.0,17.122,18.5
Jalen Green,HOU,29.0,17.372,16.5
Jalen Green,HOU,36.0,17.795,17.5
Jalen Green,HOU,19.0,17.822,17.5
Jalen Green,HOU,34.0,18.174,18.5
Pascal Siakam,TOR,18.0,21.037,21.5
Pascal Siakam,TOR,18.0,21.037,21.5
Pascal Siakam,TOR,18.0,21.684,21.5
Pascal Siakam,TOR,18.0,21.684,21.5
Pascal Siakam,TOR,31.0,21.393,21.5
Pascal Siakam,TOR,31.0,21.393,21.5
Pascal Siakam,TOR,31.0,21.8,21.5
Pascal Siakam,TOR,31.0,21.8,21.5
Pascal Siakam,TOR,19.0,21.31,22.5
Pascal Siakam,TOR,19.0,21.31,22.5
Pascal Siakam,TOR,19.0,21.765,22.5
Pascal Siakam,TOR,19.0,21.765,22.5
Pascal Siakam,TOR,22.0,21.333,25.5
Pascal Siakam,TOR,22.0,21.333,25.5
Pascal Siakam,TOR,22.0,21.768,25.5
Pascal Siakam,TOR,22.0,21.768,25.5
Pascal Siakam,TOR,36.0,22.364,23.5
Pascal Siakam,TOR,36.0,22.364,23.5
Pascal Siakam,TOR,36.0,22.153,23.5
Pascal Siakam,TOR,36.0,22.153,23.5
Pascal Siakam,TOR,24.0,22.412,23.5
Pascal Siakam,TOR,24.0,22.412,23.5
Pascal Siakam,TOR,24.0,22.174,23.5
Pascal Siakam,TOR,24.0,22.174,23.5
Pascal Siakam,TOR,18.0,22.286,24.5
Pascal Siakam,TOR,18.0,22.286,24.5
Pascal Siakam,TOR,18.0,22.126,24.5
Pascal Siakam,TOR,18.0,22.126,24.5
Pascal Siakam,TOR,16.0,22.111,22.5
Pascal Siakam,TOR,16.0,22.111,22.5
Pascal Siakam,TOR,16.0,22.057,22.5
Pascal Siakam,TOR,16.0,22.057,22.5
Pascal Siakam,TOR,25.0,22.189,21.5
Pascal Siakam,TOR,25.0,22.189,21.5
Pascal Siakam,TOR,25.0,22.09,21.5
Pascal Siakam,TOR,25.0,22.09,21.5
Pascal Siakam,TOR,17.0,22.179,21.5
Pascal Siakam,TOR,17.0,22.179,21.5
Pascal Siakam,TOR,17.0,22.088,21.5
Pascal Siakam,TOR,17.0,22.088,21.5
Pascal Siakam,IND,26.0,21.93,20.5
Pascal Siakam,IND,26.0,21.93,20.5
Pascal Siakam,IND,26.0,21.979,20.5
Pascal Siakam,IND,26.0,21.979,20.5
Pascal Siakam,IND,31.0,22.136,20.5
Pascal Siakam,IND,31.0,22.136,20.5
Pascal Siakam,IND,31.0,22.073,20.5
Pascal Siakam,IND,31.0,22.073,20.5
Pascal Siakam,IND,19.0,22.067,22.5
Pascal Siakam,IND,19.0,22.067,22.5
Pascal Siakam,IND,19.0,22.041,22.5
Pascal Siakam,IND,19.0,22.041,22.5
Pascal Siakam,IND,23.0,22.087,18.5
Pascal Siakam,IND,23.0,22.087,18.5
Pascal Siakam,IND,23.0,22.051,18.5
Pascal Siakam,IND,23.0,22.051,18.5
Tyrese Haliburton,IND,19.0,24.652,24.5
Tyrese Haliburton,IND,17.0,24.333,24.5
Tyrese Haliburton,IND,29.0,24.52,24.5
Tyrese Haliburton,IND,33.0,24.846,24.5
Tyrese Haliburton,IND,21.0,24.704,26.5
Tyrese Haliburton,IND,22.0,24.607,25.5
Tyrese Haliburton,IND,26.0,24.655,25.5
Tyrese Haliburton,IND,31.0,24.867,25.5
Tyrese Haliburton,IND,10.0,24.387,27.5
Tyrese Haliburton,IND,17.0,24.156,24.5
Tyrese Haliburton,IND,7.0,23.636,23.5
Tyrese Haliburton,IND,13.0,23.257,20.5
Bruce Brown,IND,6.0,11.885,11.5
Bruce Brown,IND,17.0,11.897,11.5
Bruce Brown,IND,16.0,11.871,11.5
Bruce Brown,IND,12.0,11.875,13.5
Bruce Brown,IND,18.0,12.061,10.5
Bruce Brown,TOR,19.0,12.139,12.5
Myles Turner,IND,18.0,16.92,16.5
Myles Turner,IND,18.0,17.143,15.5
Myles Turner,IND,24.0,17.379,16.5
Myles Turner,IND,28.0,17.733,17.5
Myles Turner,IND,13.0,17.581,20.5
Myles Turner,IND,15.0,17.5,18.5
Myles Turner,IND,27.0,17.788,19.5
Myles Turner,IND,12.0,17.618,17.5
Myles Turner,IND,16.0,17.571,16.5
Myles Turner,IND,18.0,17.583,18.5
Myles Turner,IND,12.0,17.432,19.5
Myles Turner,IND,12.0,17.289,16.5
Myles Turner,IND,12.0,17.154,17.5
Myles Turner,IND,22.0,17.442,15.5
Myles Turner,IND,20.0,17.5,16.5
Myles Turner,IND,5.0,17.222,16.5
Myles Turner,IND,17.0,17.217,14.5
Aaron Nesmith,IND,9.0,12.833,11.5
Aaron Nesmith,IND,15.0,13.143,11.5
Aaron Nesmith,IND,10.0,12.7,13.5
Aaron Nesmith,IND,13.0,12.727,12.5
Aaron Nesmith,IND,16.0,12.467,11.5
Aaron Nesmith,IND,22.0,13.062,11.5
Aaron Nesmith,IND,16.0,13.235,12.5
Aaron Nesmith,IND,26.0,13.944,12.5
Buddy Hield,IND,25.0,14.5,14.5
Buddy Hield,IND,25.0,14.5,14.5
Buddy Hield,IND,25.0,13.886,14.5
Buddy Hield,IND,25.0,13.886,14.5
Buddy Hield,IND,2.0,13.88,12.5
Buddy Hield,IND,2.0,13.88,12.5
Buddy Hield,IND,2.0,13.727,12.5
Buddy Hield,IND,2.0,13.727,12.5
Obi Toppin,IND,6.0,11.72,10.5
James Harden,LAC,22.0,17.714,16.5
James Harden,LAC,8.0,17.379,17.5
James Harden,LAC,15.0,17.3,17.5
James Harden,LAC,14.0,17.25,16.5
James Harden,LAC,11.0,17.061,15.5
James Harden,LAC,14.0,16.971,14.5
James Harden,LAC,16.0,16.943,16.5
James Harden,LAC,24.0,17.139,16.5
James Harden,LAC,23.0,17.297,17.5
James Harden,LAC,22.0,17.421,18.5
James Harden,LAC,9.0,17.205,19.5
James Harden,LAC,11.0,17.05,18.5
Kawhi Leonard,LAC,30.0,24.37,28.5
Kawhi Leonard,LAC,30.0,24.552,24.5
Kawhi Leonard,LAC,19.0,24.367,26.5
Kawhi Leonard,LAC,15.0,24.065,26.5
Kawhi Leonard,LAC,29.0,24.0,23.5
Kawhi Leonard,LAC,22.0,23.941,23.5
Kawhi Leonard,LAC,26.0,24.0,23.5
Kawhi Leonard,LAC,16.0,23.778,25.5
Kawhi Leonard,LAC,21.0,23.703,24.5
Kawhi Leonard,LAC,25.0,23.737,24.5
Kawhi Leonard,LAC,16.0,23.538,24.5
Kawhi Leonard,LAC,26.0,23.6,26.5
Kawhi Leonard,LAC,30.0,23.756,24.5
Paul George,LAC,33.0,23.194,22.5
Paul George,LAC,24.0,23.219,23.5
Paul George,LAC,22.0,23.182,23.5
Paul George,LAC,29.0,23.4,23.5
Paul George,LAC,37.0,23.778,22.5
Paul George,LAC,16.0,23.568,23.5
Paul George,LAC,38.0,23.947,24.5
Paul George,LAC,12.0,23.641,24.5
Paul George,LAC,17.0,23.475,24.5
Paul George,LAC,21.0,23.415,22.5
Ivica Zubac,LAC,12.0,12.185,12.5
Ivica Zubac,LAC,18.0,12.3,12.5
Ivica Zubac,LAC,6.0,12.0,10.5
Ivica Zubac,LAC,15.0,12.088,9.5
Ivica Zubac,LAC,22.0,12.371,10.5
Ivica Zubac,LAC,12.0,12.541,13.5
Ivica Zubac,LAC,6.0,12.368,11.5
Terance Mann,LAC,8.0,7.292,7.5
Terance Mann,LAC,6.0,7.24,7.5
Terance Mann,LAC,13.0,7.704,7.5
Terance Mann,LAC,7.0,7.679,8.5
Terance Mann,LAC,2.0,7.483,7.5
Terance Mann,LAC,13.0,7.645,7.5
Terance Mann,LAC,17.0,7.938,7.5
Terance Mann,LAC,6.0,7.879,8.5
Terance Mann,LAC,14.0,8.059,7.5
Terance Mann,LAC,5.0,7.971,8.5
Anthony Davis,LAL,19.0,24.038,28.5
Anthony Davis,LAL,26.0,24.357,28.5
Anthony Davis,LAL,40.0,24.897,27.5
Anthony Davis,LAL,26.0,24.933,28.5
Anthony Davis,LAL,33.0,25.194,27.5
Anthony Davis,LAL,29.0,25.152,29.5
Anthony Davis,LAL,31.0,25.324,28.5
Anthony Davis,LAL,22.0,25.229,28.5
Anthony Davis,LAL,41.0,25.667,28.5
Anthony Davis,LAL,13.0,25.324,28.5
Anthony Davis,LAL,15.0,25.053,27.5
Anthony Davis,LAL,27.0,25.103,28.5
Anthony Davis,LAL,28.0,25.175,27.5
Anthony Davis,LAL,26.0,25.195,26.5
Anthony Davis,LAL,14.0,24.929,26.5
Anthony Davis,LAL,26.0,24.953,27.5
Anthony Davis,LAL,22.0,24.886,26.5
Anthony Davis,LAL,29.0,24.978,25.5
Anthony Davis,LAL,23.0,24.935,24.5
LeBron James,LAL,25.0,25.192,25.5
LeBron James,LAL,40.0,25.741,26.5
LeBron James,LAL,16.0,25.393,27.5
LeBron James,LAL,17.0,25.103,27.5
LeBron James,LAL,26.0,25.133,25.5
LeBron James,LAL,12.0,25.0,27.5
LeBron James,LAL,32.0,25.212,26.5
LeBron James,LAL,25.0,25.206,27.5
LeBron James,LAL,22.0,25.114,27.5
LeBron James,LAL,10.0,24.694,26.5
LeBron James,LAL,25.0,24.703,26.5
LeBron James,LAL,25.0,24.711,25.5
LeBron James,LAL,24.0,24.692,24.5
LeBron James,LAL,25.0,24.78,25.5
LeBron James,LAL,36.0,25.048,24.5
LeBron James,LAL,23.0,25.0,24.5
D'Angelo Russell,LAL,20.0,16.594,17.5
D'Angelo Russell,LAL,27.0,17.412,19.5
D'Angelo Russell,LAL,28.0,18.028,18.5
D'Angelo Russell,LAL,23.0,18.162,17.5
Austin Reaves,LAL,11.0,14.538,16.5
Austin Reaves,LAL,13.0,14.429,15.5
Austin Reaves,LAL,15.0,14.75,16.5
Austin Reaves,LAL,9.0,14.389,15.5
Austin Reaves,LAL,12.0,14.3,16.5
Austin Reaves,LAL,17.0,14.682,14.5
Austin Reaves,LAL,8.0,14.391,14.5
Taurean Prince,LAL,17.0,10.172,9.5
Taurean Prince,LAL,10.0,9.765,10.5
Taurean Prince,LAL,13.0,9.857,9.5
Taurean Prince,LAL,11.0,9.889,9.5
Taurean Prince,LAL,11.0,9.919,10.5
Taurean Prince,LAL,12.0,9.974,10.5
Taurean Prince,LAL,3.0,9.795,10.5
Taurean Prince,LAL,9.0,9.775,9.5
Taurean Prince,LAL,10.0,9.78,8.5
Taurean Prince,LAL,11.0,9.81,10.5
Taurean Prince,LAL,0.0,9.682,9.5
Taurean Prince,LAL,5.0,9.578,8.5
Cam Reddish,LAL,5.0,8.316,8.5
Cam Reddish,LAL,13.0,7.917,6.5
Cam Reddish,LAL,0.0,7.6,6.5
Ja Morant,MEM,34.0,34.0,23.5
Ja Morant,MEM,20.0,27.0,28.5
Ja Morant,MEM,30.0,28.0,27.5
Ja Morant,MEM,31.0,28.75,28.5
Ja Morant,MEM,17.0,25.167,27.5
Ja Morant,MEM,26.0,25.286,26.5
Ja Morant,MEM,28.0,25.625,25.5
Ja Morant,MEM,21.0,25.111,26.5
Desmond Bane,MEM,31.0,24.692,24.5
Desmond Bane,MEM,37.0,25.148,26.5
Desmond Bane,MEM,27.0,25.214,25.5
Desmond Bane,MEM,17.0,24.645,24.5
Desmond Bane,MEM,24.0,24.625,23.5
Desmond Bane,MEM,24.0,24.529,22.5
Desmond Bane,MEM,32.0,24.694,27.5
Desmond Bane,MEM,15.0,24.432,27.5
Jaren Jackson Jr.,MEM,21.0,21.481,22.5
Jaren Jackson Jr.,MEM,20.0,21.429,21.5
Jaren Jackson Jr.,MEM,19.0,21.345,18.5
Jaren Jackson Jr.,MEM,18.0,21.031,19.5
Jaren Jackson Jr.,MEM,10.0,20.697,19.5
Jaren Jackson Jr.,MEM,31.0,21.086,18.5
Jaren Jackson Jr.,MEM,21.0,21.27,23.5
Jaren Jackson Jr.,MEM,36.0,21.564,23.5
Jaren Jackson Jr.,MEM,26.0,21.675,26.5
Jaren Jackson Jr.,MEM,27.0,21.805,26.5
Jaren Jackson Jr.,MEM,15.0,21.643,25.5
Jaren Jackson Jr.,MEM,30.0,21.837,26.5
Jaren Jackson Jr.,MEM,25.0,21.909,31.5
Jaren Jackson Jr.,MEM,22.0,21.911,27.5
Marcus Smart,MEM,12.0,13.4,11.5
Marcus Smart,MEM,5.0,12.875,13.5
Marcus Smart,MEM,29.0,13.389,11.5
Vince Williams Jr.,MEM,5.0,7.0,7.5
Vince Williams Jr.,MEM,10.0,9.167,12.5
Vince Williams Jr.,MEM,14.0,9.538,11.5
Vince Williams Jr.,MEM,18.0,10.143,12.5
Vince Williams Jr.,MEM,25.0,11.133,12.5
Vince Williams Jr.,MEM,11.0,11.125,13.5
Vince Williams Jr.,MEM,20.0,11.647,14.5
Santi Aldama,MEM,16.0,13.2,12.5
Luke Kennard,MEM,18.0,12.833,12.5
Luke Kennard,MEM,14.0,13.0,13.5
Luke Kennard,MEM,19.0,13.75,14.5
Luke Kennard,MEM,15.0,13.889,14.5
Bismack Biyombo,MEM,8.0,6.45,
Bam Adebayo,MIA,18.0,22.0,21.5
Bam Adebayo,MIA,18.0,21.789,22.5
Bam Adebayo,MIA,26.0,22.0,22.5
Bam Adebayo,MIA,17.0,21.762,22.5
Bam Adebayo,MIA,21.0,22.0,22.5
Bam Adebayo,MIA,15.0,21.708,22.5
Bam Adebayo,MIA,28.0,21.96,21.5
Bam Adebayo,MIA,22.0,21.962,23.5
Bam Adebayo,MIA,25.0,22.074,22.5
Bam Adebayo,MIA,16.0,21.548,22.5
Bam Adebayo,MIA,21.0,21.531,22.5
Bam Adebayo,MIA,22.0,21.545,20.5
Bam Adebayo,MIA,15.0,21.353,20.5
Bam Adebayo,MIA,19.0,21.286,19.5
Bam Adebayo,MIA,12.0,21.028,20.5
Bam Adebayo,MIA,8.0,20.676,19.5
Jimmy Butler,MIA,16.0,21.154,22.5
Jimmy Butler,MIA,25.0,21.296,23.5
Jimmy Butler,MIA,15.0,21.071,20.5
Jimmy Butler,MIA,28.0,20.968,17.5
Jimmy Butler,MIA,26.0,21.125,20.5
Tyler Herro,MIA,28.0,23.6,21.5
Tyler Herro,MIA,30.0,24.182,24.5
Tyler Herro,MIA,22.0,24.0,22.5
Tyler Herro,MIA,26.0,24.154,24.5
Tyler Herro,MIA,12.0,23.4,23.5
Tyler Herro,MIA,21.0,23.25,23.5
Tyler Herro,MIA,9.0,22.412,23.5
Tyler Herro,MIA,28.0,22.722,22.5
Tyler Herro,MIA,17.0,22.421,23.5
Tyler Herro,MIA,16.0,22.364,22.5
Tyler Herro,MIA,25.0,22.478,22.5
Tyler Herro,MIA,12.0,22.042,21.5
Tyler Herro,MIA,18.0,21.88,20.5
Tyler Herro,MIA,18.0,21.63,18.5
Tyler Herro,MIA,17.0,21.464,19.5
Jaime Jaquez Jr.,MIA,15.0,15.444,16.5
Jaime Jaquez Jr.,MIA,16.0,15.5,16.5
Jaime Jaquez Jr.,MIA,10.0,15.0,15.5
Jaime Jaquez Jr.,MIA,14.0,14.917,15.5
Jaime Jaquez Jr.,MIA,21.0,15.385,15.5
Kyle Lowry,MIA,3.0,9.538,8.5
Kyle Lowry,MIA,3.0,9.296,8.5
Kyle Lowry,MIA,12.0,9.393,6.5
Kyle Lowry,MIA,10.0,9.367,8.5
Kyle Lowry,MIA,6.0,9.156,7.5
Kyle Lowry,MIA,4.0,8.543,6.5
Caleb Martin,MIA,1.0,12.1,9.5
Damian Lillard,MIL,40.0,26.32,26.5
Damian Lillard,MIL,19.0,25.963,25.5
Damian Lillard,MIL,32.0,26.179,24.5
Damian Lillard,MIL,31.0,25.867,23.5
Damian Lillard,MIL,13.0,25.452,25.5
Damian Lillard,MIL,23.0,25.375,26.5
Damian Lillard,MIL,18.0,25.147,25.5
Damian Lillard,MIL,21.0,25.029,24.5
Damian Lillard,MIL,27.0,25.083,25.5
Damian Lillard,MIL,29.0,25.189,26.5
