team,player_link,Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
ATL,/players/y/youngtr01.html,1,Trae Young,25,50,50,36.5,8.3,19.4,.427,3.3,9.0,.371,4.9,10.4,.476,.513,6.8,7.9,.858,0.4,2.3,2.7,10.9,1.4,0.2,4.3,2.1,26.7
ATL,/players/m/murrade01.html,2,Dejounte Murray,27,52,52,35.0,8.2,17.7,.463,2.3,6.3,.364,5.9,11.4,.518,.528,2.8,3.4,.825,0.7,4.4,5.1,5.3,1.3,0.3,2.3,1.8,21.4
ATL,/players/j/johnsja05.html,3,Jalen Johnson,22,41,38,34.0,6.3,12.0,.524,1.2,3.4,.348,5.1,8.6,.594,.573,2.0,2.7,.743,1.3,7.3,8.6,3.3,1.2,0.9,1.8,2.7,15.7
ATL,/players/b/beysa01.html,4,Saddiq Bey,24,54,42,32.5,4.6,10.8,.422,1.8,5.6,.316,2.8,5.2,.537,.504,2.6,3.1,.829,2.6,3.9,6.6,1.5,0.9,0.1,0.8,1.5,13.5
ATL,/players/b/bogdabo01.html,5,Bogdan Bogdanović,31,53,8,28.9,6.0,14.0,.432,3.1,8.4,.372,2.9,5.6,.520,.543,1.7,1.9,.910,0.6,2.7,3.3,2.8,1.2,0.3,1.2,2.4,16.9
ATL,/players/h/huntede01.html,6,De'Andre Hunter,26,31,24,28.4,5.0,10.6,.470,2.0,4.7,.421,3.0,5.9,.508,.563,3.0,3.4,.894,0.6,3.2,3.8,1.3,0.8,0.4,1.5,2.8,14.9
ATL,/players/o/okongon01.html,7,Onyeka Okongwu,23,53,8,25.8,4.0,6.6,.610,0.4,1.2,.338,3.6,5.4,.671,.641,1.7,2.2,.800,2.7,4.3,7.0,1.3,0.4,1.1,0.8,3.0,10.2
ATL,/players/c/capelca01.html,8,Clint Capela,29,47,47,25.7,4.8,8.4,.575,0.0,0.0,,4.8,8.4,.575,.575,1.8,2.8,.649,4.8,5.8,10.6,1.0,0.6,1.5,0.9,2.4,11.5
BOS,/players/t/tatumja01.html,1,Jayson Tatum,25,52,52,35.8,9.3,19.5,.475,3.1,8.4,.363,6.2,11.0,.561,.554,5.6,6.8,.824,0.9,7.7,8.6,4.8,1.0,0.6,2.5,2.0,27.1
BOS,/players/b/brownja02.html,2,Jaylen Brown,27,50,50,33.4,8.5,17.3,.492,1.9,5.7,.342,6.6,11.6,.566,.549,3.0,4.2,.718,1.1,4.4,5.5,3.7,1.1,0.6,2.5,2.7,22.0
BOS,/players/h/holidjr01.html,3,Jrue Holiday,33,50,50,33.3,5.0,10.5,.473,2.1,4.7,.440,2.9,5.8,.500,.571,1.1,1.3,.833,1.3,4.5,5.9,4.8,0.8,0.7,1.9,1.7,13.1
BOS,/players/w/whitede01.html,4,Derrick White,29,51,51,32.3,5.4,11.7,.462,2.7,6.7,.397,2.7,5.0,.551,.576,2.1,2.3,.891,0.6,3.3,3.9,4.7,1.0,1.2,1.6,2.2,15.6
BOS,/players/p/porzikr01.html,5,Kristaps Porziņģis,28,40,40,29.5,6.8,12.8,.531,1.9,5.0,.368,5.0,7.8,.637,.604,4.8,5.7,.845,1.6,5.4,6.9,1.9,0.6,1.9,1.7,2.8,20.2
BOS,/players/h/horfoal01.html,6,Al Horford,37,45,22,27.2,3.0,6.2,.484,1.6,4.0,.409,1.3,2.1,.625,.617,0.4,0.4,.850,1.2,5.5,6.7,2.9,0.6,1.0,0.7,1.5,8.0
BOS,/players/h/hausesa01.html,7,Sam Hauser,26,54,6,21.5,2.8,6.3,.443,2.2,5.4,.412,0.6,0.9,.638,.620,0.3,0.3,.882,0.6,2.7,3.4,1.0,0.4,0.2,0.5,1.3,8.1
BOS,/players/p/pritcpa01.html,8,Payton Pritchard,26,55,0,20.7,2.9,6.7,.435,1.7,4.5,.380,1.2,2.2,.550,.564,0.5,0.7,.811,0.9,2.3,3.2,2.8,0.4,0.1,0.6,1.3,8.1
BRK,/players/b/bridgmi01.html,1,Mikal Bridges,27,54,54,35.2,7.6,16.9,.452,2.6,6.9,.371,5.1,10.0,.508,.528,3.9,4.6,.829,0.8,4.0,4.9,3.7,0.9,0.4,2.2,1.6,21.7
BRK,/players/d/dinwisp01.html,2,Spencer Dinwiddie,30,48,48,30.7,4.1,10.4,.391,1.9,5.8,.320,2.2,4.6,.480,.480,2.6,3.3,.781,0.5,2.8,3.3,6.0,0.8,0.2,1.3,1.8,12.6
BRK,/players/t/thomaca02.html,3,Cam Thomas,22,45,30,29.7,7.6,17.3,.439,2.0,5.6,.364,5.6,11.8,.474,.497,3.9,4.7,.839,0.4,2.5,2.8,2.6,0.7,0.3,1.8,2.1,21.2
BRK,/players/c/claxtni01.html,4,Nic Claxton,24,44,44,29.4,5.3,8.5,.625,0.0,0.1,.250,5.3,8.5,.629,.626,1.5,2.6,.570,2.9,7.3,10.2,1.9,0.6,2.3,1.2,2.5,12.2
BRK,/players/j/johnsca02.html,5,Cameron Johnson,27,41,40,28.2,5.0,11.1,.455,2.4,6.1,.400,2.6,5.0,.522,.565,1.1,1.6,.734,1.1,3.6,4.7,2.6,0.8,0.3,1.0,1.9,13.7
BRK,/players/f/finnedo01.html,6,Dorian Finney-Smith,30,45,34,28.1,3.2,7.8,.409,2.0,5.3,.376,1.2,2.5,.478,.536,0.4,0.6,.654,1.6,3.0,4.6,1.4,0.7,0.6,0.8,2.3,8.7
BRK,/players/s/simmobe01.html,7,Ben Simmons,27,12,10,25.7,3.2,5.3,.594,0.0,0.0,,3.2,5.3,.594,.594,0.5,1.2,.429,2.3,6.2,8.4,6.5,0.8,0.7,2.1,2.7,6.8
BRK,/players/s/schrode01.html,8,Dennis Schröder,30,3,1,25.3,3.7,10.3,.355,1.7,4.3,.385,2.0,6.0,.333,.435,0.3,1.0,.333,0.0,3.7,3.7,5.3,0.0,0.0,2.0,2.0,9.3
CHI,/players/d/derozde01.html,1,DeMar DeRozan,34,53,53,37.7,7.8,16.6,.472,0.9,2.8,.333,6.9,13.8,.499,.499,6.1,7.2,.852,0.6,3.5,4.1,5.2,1.2,0.6,1.5,2.2,22.7
CHI,/players/w/whiteco01.html,2,Coby White,23,55,55,36.3,7.0,15.1,.463,2.9,7.2,.397,4.1,7.9,.523,.558,2.7,3.3,.824,0.5,4.2,4.7,5.3,0.7,0.2,2.2,2.3,19.6
CHI,/players/l/lavinza01.html,3,Zach LaVine,28,25,23,34.9,6.8,15.0,.452,2.4,6.8,.349,4.4,8.3,.536,.531,3.5,4.1,.854,0.3,4.8,5.2,3.9,0.8,0.3,2.1,2.3,19.5
CHI,/players/v/vucevni01.html,4,Nikola Vučević,33,50,48,34.4,7.4,15.8,.471,1.1,4.1,.275,6.3,11.6,.541,.508,1.4,1.7,.857,2.7,7.9,10.6,3.4,0.7,0.9,1.5,2.6,17.5
CHI,/players/w/willipa01.html,5,Patrick Williams,22,43,30,27.3,3.7,8.3,.443,1.4,3.4,.399,2.3,4.9,.474,.525,1.2,1.5,.788,1.1,2.8,3.9,1.5,0.9,0.8,1.3,2.0,10.0
CHI,/players/c/carusal01.html,6,Alex Caruso,29,47,34,27.1,3.4,7.1,.482,1.7,4.3,.401,1.7,2.8,.606,.603,1.2,1.6,.781,1.0,2.8,3.8,2.8,1.4,1.2,1.4,2.5,9.8
CHI,/players/d/dosunay01.html,7,Ayo Dosunmu,24,53,14,25.5,3.9,7.8,.505,1.4,3.3,.417,2.6,4.5,.569,.593,0.9,1.1,.767,0.6,1.9,2.5,2.3,0.8,0.5,1.1,2.1,10.1
CHI,/players/c/craigto01.html,8,Torrey Craig,33,33,8,21.0,2.2,5.1,.425,1.1,3.0,.374,1.0,2.1,.500,.536,0.6,0.8,.778,1.7,3.1,4.7,1.1,0.6,0.5,0.6,2.3,6.1
CHO,/players/b/bridgmi02.html,1,Miles Bridges,25,43,41,37.0,8.2,17.7,.464,2.4,6.6,.371,5.7,11.1,.519,.533,2.7,3.2,.860,0.9,6.3,7.1,3.4,1.1,0.6,2.0,1.9,21.5
CHO,/players/r/roziete01.html,2,Terry Rozier,29,30,30,35.5,8.4,18.3,.459,2.8,7.7,.358,5.6,10.6,.533,.535,3.6,4.3,.845,0.6,3.3,3.9,6.6,1.1,0.4,2.2,1.7,23.2
CHO,/players/b/ballla01.html,3,LaMelo Ball,22,22,22,32.3,8.3,19.2,.433,3.2,9.0,.355,5.1,10.3,.500,.515,4.1,4.7,.865,1.3,3.8,5.1,8.0,1.8,0.2,3.8,3.6,23.9
CHO,/players/h/haywago01.html,4,Gordon Hayward,33,25,25,31.9,5.6,11.9,.468,0.9,2.4,.361,4.7,9.4,.496,.505,2.5,3.2,.765,1.0,3.7,4.7,4.6,1.1,0.5,2.0,1.8,14.5
CHO,/players/m/millebr02.html,5,Brandon Miller,21,48,42,31.4,6.2,13.9,.444,2.3,6.0,.386,3.9,7.9,.488,.528,1.9,2.3,.836,0.9,3.2,4.1,2.3,0.8,0.6,1.7,2.6,16.6
CHO,/players/w/willigr01.html,6,Grant Williams,25,3,0,30.3,6.0,11.7,.514,2.0,5.7,.353,4.0,6.0,.667,.600,3.0,3.3,.900,1.3,6.0,7.3,2.0,0.7,0.3,1.7,1.7,17.0
CHO,/players/m/manntr01.html,7,Tre Mann,22,3,3,30.3,5.3,11.7,.457,2.0,4.3,.462,3.3,7.3,.455,.543,1.0,1.0,1.000,1.0,6.0,7.0,7.3,1.3,0.0,2.3,1.0,13.7
CHO,/players/w/washipj01.html,8,P.J. Washington,25,44,17,29.2,5.2,11.6,.446,1.8,5.5,.324,3.4,6.0,.558,.524,1.5,2.1,.713,1.2,4.1,5.3,2.2,0.9,0.7,1.5,2.5,13.6
CLE,/players/m/mitchdo01.html,1,Donovan Mitchell,27,44,44,35.5,9.9,20.9,.473,3.3,9.1,.361,6.6,11.7,.560,.552,5.4,6.2,.864,1.0,4.5,5.4,6.3,1.9,0.5,2.8,2.1,28.4
CLE,/players/s/strusma01.html,2,Max Strus,27,53,53,32.3,4.4,10.8,.410,2.4,7.1,.336,2.0,3.6,.554,.521,0.9,1.2,.781,0.8,4.1,4.9,3.7,0.9,0.5,1.5,2.6,12.2
CLE,/players/g/garlada01.html,3,Darius Garland,24,29,29,31.8,6.7,14.2,.471,1.7,5.0,.331,5.0,9.2,.547,.529,3.2,3.7,.860,0.5,1.8,2.3,5.9,1.4,0.1,3.2,1.3,18.2
CLE,/players/m/mobleev01.html,4,Evan Mobley,22,30,30,31.2,6.6,11.3,.587,0.3,0.8,.417,6.3,10.5,.600,.602,2.2,2.9,.759,2.4,7.8,10.2,2.8,0.8,1.5,2.0,2.8,15.8
CLE,/players/a/allenja01.html,5,Jarrett Allen,25,48,48,30.7,6.4,9.9,.646,0.0,0.1,.000,6.4,9.8,.653,.646,2.7,3.7,.744,3.5,7.1,10.6,2.8,0.8,1.2,1.8,2.2,15.6
CLE,/players/l/leverca01.html,6,Caris LeVert,29,43,1,27.4,5.3,12.4,.424,1.7,5.1,.336,3.6,7.3,.486,.493,2.1,2.9,.748,0.5,3.0,3.6,4.4,1.0,0.4,1.5,1.7,14.4
CLE,/players/o/okorois01.html,7,Isaac Okoro,23,44,24,26.2,3.2,6.5,.493,1.0,2.7,.393,2.2,3.9,.561,.573,1.5,2.2,.684,1.2,1.9,3.1,1.9,0.8,0.5,0.8,2.0,9.0
CLE,/players/n/niangge01.html,8,Georges Niang,30,53,1,21.7,3.3,7.7,.432,1.7,4.8,.352,1.6,2.9,.565,.542,0.6,0.8,.825,0.3,3.3,3.6,1.2,0.2,0.2,0.8,2.4,8.9
DAL,/players/d/doncilu01.html,1,Luka Dončić,24,47,47,37.4,11.5,23.4,.492,3.9,10.3,.375,7.7,13.2,.583,.574,7.3,9.3,.777,0.7,8.1,8.8,9.5,1.4,0.6,4.0,2.0,34.2
DAL,/players/i/irvinky01.html,2,Kyrie Irving,31,33,33,33.9,9.6,19.6,.491,2.9,7.0,.414,6.7,12.6,.534,.565,3.3,3.7,.878,0.8,4.4,5.2,5.5,1.3,0.5,1.6,1.9,25.5
DAL,/players/h/hardati02.html,3,Tim Hardaway Jr.,31,52,10,29.8,5.9,14.3,.414,3.2,8.6,.365,2.8,5.6,.490,.525,2.3,2.7,.877,0.3,3.3,3.6,1.7,0.5,0.1,1.0,1.6,17.3
DAL,/players/w/washipj01.html,4,P.J. Washington,25,3,2,29.3,3.7,9.0,.407,0.7,4.0,.167,3.0,5.0,.600,.444,0.7,2.0,.333,0.7,4.7,5.3,2.0,0.3,0.3,1.7,2.3,8.7
DAL,/players/g/greenjo02.html,5,Josh Green,23,42,25,27.3,3.4,6.9,.491,1.5,3.5,.412,2.0,3.4,.573,.596,0.8,1.2,.660,0.6,2.7,3.3,2.5,0.8,0.2,1.1,2.0,9.0
DAL,/players/w/willigr01.html,6,Grant Williams,25,47,33,26.4,2.8,6.7,.413,1.7,4.5,.376,1.1,2.3,.486,.538,0.9,1.2,.745,1.0,2.6,3.6,1.7,0.5,0.6,1.1,2.9,8.1
DAL,/players/l/livelde01.html,7,Dereck Lively II,19,37,35,25.7,4.1,5.6,.736,0.0,0.1,.000,4.1,5.6,.743,.736,0.9,1.6,.559,2.8,5.0,7.8,1.3,0.6,1.5,1.1,3.0,9.2
DAL,/players/j/jonesde02.html,8,Derrick Jones Jr.,26,50,47,25.3,3.5,7.2,.486,1.2,3.6,.341,2.3,3.6,.630,.571,1.3,1.8,.744,1.1,2.5,3.7,1.0,0.8,0.7,0.9,1.8,9.6
DEN,/players/j/jokicni01.html,1,Nikola Jokić,28,53,53,33.8,10.2,17.7,.577,1.1,3.0,.352,9.2,14.7,.623,.607,4.6,5.7,.813,3.0,9.1,12.0,8.9,1.2,0.9,2.9,2.5,26.1
DEN,/players/c/caldwke01.html,2,Kentavious Caldwell-Pope,30,50,50,31.9,3.5,7.9,.443,1.4,3.8,.379,2.0,4.1,.502,.534,1.6,1.8,.921,0.4,1.9,2.3,2.3,1.3,0.5,1.0,1.9,10.0
DEN,/players/g/gordoaa01.html,3,Aaron Gordon,28,49,49,31.7,5.4,10.0,.545,0.6,1.9,.315,4.8,8.1,.598,.575,2.4,3.7,.641,2.5,4.2,6.7,3.1,0.8,0.7,1.4,1.8,13.8
DEN,/players/p/portemi01.html,4,Michael Porter Jr.,25,54,54,31.6,6.1,13.0,.470,2.7,6.9,.394,3.4,6.2,.556,.574,1.0,1.2,.791,1.3,5.6,6.9,1.4,0.4,0.7,1.1,1.9,15.9
DEN,/players/m/murraja01.html,5,Jamal Murray,26,40,40,31.5,7.7,16.5,.468,2.4,5.9,.411,5.3,10.6,.500,.542,2.7,3.2,.849,0.7,3.3,3.9,6.5,0.8,0.7,2.0,1.9,20.5
DEN,/players/j/jacksre01.html,6,Reggie Jackson,33,55,15,23.1,4.3,9.5,.457,1.3,3.4,.372,3.1,6.1,.505,.524,0.9,1.2,.776,0.4,1.7,2.1,4.0,0.6,0.2,1.3,1.8,10.9
DEN,/players/b/braunch01.html,7,Christian Braun,22,55,0,19.0,2.5,5.7,.438,0.7,1.8,.360,1.9,3.9,.474,.495,1.3,1.8,.732,0.8,2.7,3.5,1.4,0.4,0.4,0.7,1.5,7.0
DEN,/players/w/watsope01.html,8,Peyton Watson,21,53,4,18.3,2.6,5.5,.473,0.7,2.1,.336,1.9,3.5,.554,.536,0.9,1.3,.700,0.6,2.3,2.9,1.0,0.6,0.9,0.7,1.8,6.9
DET,/players/c/cunnica01.html,1,Cade Cunningham,22,44,44,34.0,8.2,18.4,.446,1.7,5.1,.335,6.5,13.3,.489,.493,3.8,4.5,.857,0.4,3.7,4.1,7.5,0.9,0.4,3.6,2.7,21.9
DET,/players/b/bogdabo02.html,2,Bojan Bogdanović,34,28,27,32.9,7.1,15.2,.468,3.1,7.4,.415,4.0,7.8,.518,.569,2.9,3.7,.779,0.5,2.9,3.4,2.5,0.8,0.1,2.3,2.0,20.2
DET,/players/s/stewais01.html,3,Isaiah Stewart,22,35,34,30.6,4.1,8.6,.470,1.4,3.7,.374,2.7,4.9,.544,.551,1.5,2.0,.746,1.8,5.0,6.8,1.7,0.4,0.8,1.5,2.5,11.0
DET,/players/d/durenja01.html,4,Jalen Duren,20,39,38,30.1,6.1,9.7,.631,0.0,0.1,.000,6.1,9.6,.636,.631,1.8,2.4,.742,3.4,8.6,12.0,2.5,0.4,0.8,1.9,3.3,14.0
DET,/players/i/iveyja01.html,5,Jaden Ivey,21,50,34,27.7,5.4,11.9,.454,1.6,4.3,.361,3.8,7.6,.507,.519,2.9,4.0,.729,1.3,2.4,3.7,3.6,0.7,0.6,2.5,2.9,15.3
DET,/players/f/fontesi01.html,6,Simone Fontecchio,28,3,2,26.0,6.0,13.3,.450,2.3,6.7,.350,3.7,6.7,.550,.538,1.0,1.7,.600,1.0,3.7,4.7,2.0,1.0,0.0,0.3,1.7,15.3
DET,/players/f/fournev01.html,7,Evan Fournier,31,2,0,25.0,4.0,10.5,.381,2.0,6.0,.333,2.0,4.5,.444,.476,1.5,2.0,.750,1.0,3.0,4.0,1.0,1.5,0.5,2.5,2.5,11.5
DET,/players/h/hayeski01.html,8,Killian Hayes,22,42,31,24.0,2.8,6.7,.413,0.5,1.8,.297,2.3,5.0,.455,.452,0.8,1.2,.660,0.3,2.6,2.8,4.9,0.9,0.5,1.2,1.8,6.9
GSW,/players/c/curryst01.html,1,Stephen Curry,35,50,50,33.5,9.1,19.8,.462,5.0,12.0,.421,4.1,7.8,.526,.589,4.7,5.1,.922,0.5,3.9,4.4,5.0,0.8,0.4,3.0,1.8,28.0
GSW,/players/t/thompkl01.html,2,Klay Thompson,33,50,49,30.6,6.1,14.6,.421,3.3,8.7,.373,2.9,5.9,.491,.532,1.8,1.9,.918,0.5,3.0,3.5,2.2,0.6,0.5,1.5,1.8,17.3
GSW,/players/p/paulch01.html,3,Chris Paul,38,32,11,27.6,3.3,7.7,.424,1.3,3.7,.361,1.9,3.9,.484,.512,1.1,1.3,.833,0.3,3.5,3.8,7.2,1.1,0.1,1.2,1.8,8.9
GSW,/players/w/wiggian01.html,4,Andrew Wiggins,28,48,37,27.1,4.8,10.7,.449,1.1,3.2,.342,3.7,7.5,.494,.500,1.8,2.5,.713,1.6,2.8,4.4,1.6,0.6,0.5,1.3,2.3,12.5
GSW,/players/g/greendr01.html,5,Draymond Green,33,29,26,26.9,3.7,7.2,.510,1.1,2.6,.421,2.6,4.6,.560,.586,1.2,1.6,.761,1.3,5.4,6.7,6.1,0.8,0.9,2.4,3.2,9.7
GSW,/players/p/podzibr01.html,6,Brandin Podziemski,20,47,14,26.4,3.9,8.5,.464,1.3,3.3,.385,2.7,5.2,.514,.539,0.8,1.3,.610,1.5,4.3,5.8,3.9,0.9,0.2,1.3,1.9,9.9
GSW,/players/k/kuminjo01.html,7,Jonathan Kuminga,21,52,26,25.6,5.9,11.0,.534,0.8,2.4,.317,5.1,8.7,.593,.568,3.0,4.1,.726,1.3,3.4,4.7,1.9,0.7,0.4,1.6,2.2,15.5
