team,player_link,Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
NYK,/players/h/harteis01.html,8,Isaiah Hartenstein,25,50,24,25.6,2.9,4.6,.619,0.0,0.1,.333,2.8,4.6,.623,.621,1.4,2.0,.707,3.4,5.3,8.7,2.0,1.2,1.1,1.2,2.9,7.1
OKC,/players/g/gilgesh01.html,1,Shai Gilgeous-Alexander,25,53,53,34.5,10.9,20.1,.546,1.2,3.3,.371,9.7,16.8,.580,.576,8.0,9.1,.883,0.9,4.6,5.5,6.5,2.2,0.9,2.2,2.5,31.1
OKC,/players/w/willija06.html,2,Jalen Williams,22,48,48,32.0,7.5,13.8,.544,1.5,3.3,.453,6.0,10.5,.573,.598,2.7,3.3,.811,0.5,3.5,4.1,4.6,1.0,0.5,1.8,2.6,19.2
OKC,/players/h/holmgch01.html,3,Chet Holmgren,21,54,54,30.1,6.3,11.8,.535,1.7,4.2,.393,4.6,7.5,.616,.606,2.5,3.2,.773,1.6,6.0,7.6,2.7,0.7,2.6,1.6,2.5,16.7
OKC,/players/d/dortlu01.html,4,Luguentz Dort,24,52,52,28.5,3.6,8.2,.439,1.9,4.8,.390,1.7,3.3,.509,.554,1.6,2.0,.814,1.1,2.7,3.8,1.4,0.9,0.7,0.9,3.0,10.6
OKC,/players/g/giddejo01.html,5,Josh Giddey,21,53,53,24.9,4.6,10.4,.447,1.0,3.0,.325,3.7,7.4,.496,.494,1.2,1.5,.831,1.4,4.8,6.1,4.5,0.6,0.5,2.0,1.2,11.5
OKC,/players/w/wallaca01.html,6,Cason Wallace,20,54,9,20.7,2.6,5.2,.504,1.2,2.8,.412,1.4,2.4,.614,.616,0.4,0.5,.846,0.6,1.6,2.2,1.3,0.7,0.4,0.5,1.7,6.8
OKC,/players/j/joeis01.html,7,Isaiah Joe,24,50,0,18.6,2.9,6.3,.465,2.0,4.6,.427,0.9,1.6,.573,.623,0.7,0.8,.846,0.4,1.9,2.3,1.1,0.6,0.3,0.6,1.2,8.5
OKC,/players/w/willike04.html,8,Kenrich Williams,29,43,1,14.9,1.7,3.8,.457,0.8,2.0,.395,1.0,1.8,.526,.561,0.1,0.2,.300,0.8,2.0,2.8,1.3,0.6,0.1,0.4,1.4,4.3
ORL,/players/b/banchpa01.html,1,Paolo Banchero,21,55,55,35.0,8.2,17.8,.462,1.5,4.2,.365,6.7,13.5,.492,.505,5.1,7.2,.702,1.1,5.7,6.9,5.3,1.1,0.5,3.0,2.0,23.0
ORL,/players/w/wagnefr01.html,2,Franz Wagner,22,47,47,33.3,7.8,16.3,.477,1.6,5.1,.318,6.1,11.2,.549,.527,3.9,4.5,.858,1.1,4.5,5.6,4.1,1.1,0.4,2.0,2.3,21.1
ORL,/players/s/suggsja01.html,3,Jalen Suggs,22,50,50,26.9,4.4,9.8,.445,2.1,5.4,.384,2.3,4.5,.518,.550,1.5,2.0,.760,0.7,2.6,3.3,2.4,1.4,0.6,1.9,2.8,12.3
ORL,/players/c/cartewe01.html,4,Wendell Carter Jr.,24,29,23,26.2,4.2,7.8,.535,1.1,2.8,.402,3.0,5.0,.611,.608,1.9,2.7,.727,1.8,4.7,6.5,1.6,0.4,0.5,1.2,2.4,11.4
ORL,/players/f/fultzma01.html,5,Markelle Fultz,25,21,15,24.0,4.0,8.0,.491,0.0,0.3,.143,3.9,7.7,.506,.494,0.4,0.8,.563,1.4,2.1,3.5,3.7,1.3,0.3,1.1,1.7,8.4
ORL,/players/a/anthoco01.html,6,Cole Anthony,23,54,0,23.0,4.1,9.4,.432,1.1,3.2,.326,3.0,6.1,.488,.488,2.7,3.2,.839,0.9,3.1,4.0,3.0,0.8,0.4,1.8,2.4,11.9
ORL,/players/h/harriga01.html,7,Gary Harris,29,33,6,22.5,2.4,5.5,.432,1.2,3.8,.331,1.2,1.8,.644,.544,0.8,1.0,.781,0.5,1.1,1.6,1.8,0.8,0.3,0.5,1.7,6.8
ORL,/players/w/wagnemo01.html,8,Moritz Wagner,26,53,1,18.4,4.2,7.2,.588,0.5,1.5,.325,3.7,5.7,.658,.622,2.2,2.8,.795,1.5,2.9,4.4,1.2,0.5,0.3,1.2,2.2,11.1
PHI,/players/h/hieldbu01.html,1,Buddy Hield,31,4,4,39.0,8.5,16.3,.523,4.5,10.0,.450,4.0,6.3,.640,.662,0.8,1.0,.750,0.5,3.5,4.0,7.5,1.8,0.0,3.0,4.0,22.3
PHI,/players/m/maxeyty01.html,2,Tyrese Maxey,23,49,49,37.2,8.9,19.9,.449,3.0,8.0,.378,5.9,11.9,.497,.526,4.8,5.6,.854,0.6,3.1,3.7,6.4,1.0,0.5,1.7,2.2,25.7
PHI,/players/e/embiijo01.html,3,Joel Embiid,29,34,34,34.0,11.8,22.2,.533,1.2,3.3,.366,10.6,18.9,.562,.560,10.5,11.9,.883,2.6,8.7,11.3,5.7,1.1,1.8,3.7,2.9,35.3
PHI,/players/h/harrito02.html,4,Tobias Harris,31,48,48,34.0,6.8,13.3,.507,1.2,3.4,.346,5.6,9.9,.562,.551,3.1,3.4,.896,1.1,5.0,6.0,3.4,1.0,0.5,1.5,1.7,17.7
PHI,/players/m/meltode01.html,5,De'Anthony Melton,25,33,33,29.1,3.9,9.9,.393,2.1,5.8,.363,1.8,4.1,.437,.500,1.9,2.3,.827,0.8,3.2,4.0,3.2,1.6,0.5,1.2,2.4,11.8
PHI,/players/o/oubreke01.html,6,Kelly Oubre Jr.,28,42,31,29.0,5.2,11.4,.461,1.5,4.5,.319,3.8,6.8,.556,.525,2.1,2.9,.736,1.2,3.3,4.5,1.1,1.1,0.6,0.8,2.9,14.0
PHI,/players/p/payneca01.html,7,Cameron Payne,29,4,1,25.8,3.8,10.3,.366,1.3,5.0,.250,2.5,5.3,.476,.427,2.0,2.3,.889,1.0,1.3,2.3,4.8,0.5,0.3,0.8,1.3,10.8
PHI,/players/b/batumni01.html,8,Nicolas Batum,35,31,27,25.5,2.2,4.1,.528,1.4,2.9,.467,0.8,1.2,.676,.693,0.3,0.5,.643,1.4,2.6,4.0,2.4,0.6,0.7,0.6,2.0,6.0
PHO,/players/d/duranke01.html,1,Kevin Durant,35,48,48,37.0,10.2,19.0,.538,2.3,5.1,.443,8.0,13.9,.573,.598,5.5,6.3,.871,0.5,6.1,6.6,5.7,0.9,1.3,3.2,1.8,28.2
PHO,/players/b/bookede01.html,2,Devin Booker,27,45,45,35.5,9.6,19.2,.500,2.2,5.8,.379,7.4,13.4,.552,.557,6.1,7.0,.870,0.7,3.9,4.6,7.0,0.9,0.4,2.6,3.0,27.5
PHO,/players/a/allengr01.html,3,Grayson Allen,28,49,49,32.9,4.3,8.4,.510,2.5,5.2,.482,1.8,3.2,.553,.658,1.7,1.9,.892,0.6,3.3,3.9,3.2,0.8,0.6,1.3,2.2,12.8
PHO,/players/b/bealbr01.html,4,Bradley Beal,30,30,30,32.6,7.1,14.4,.495,1.6,4.5,.363,5.5,9.9,.556,.552,2.3,3.0,.775,0.8,3.4,4.3,4.5,0.9,0.3,2.4,2.6,18.2
PHO,/players/g/gordoer01.html,5,Eric Gordon,35,47,22,29.7,4.6,10.0,.460,2.5,6.4,.388,2.1,3.6,.585,.583,0.9,1.1,.824,0.3,1.8,2.1,2.3,0.9,0.5,1.3,1.3,12.6
PHO,/players/n/nurkiju01.html,6,Jusuf Nurkić,29,52,52,27.2,4.6,8.8,.519,0.4,1.6,.250,4.2,7.2,.579,.542,2.3,3.4,.686,2.6,7.6,10.2,3.7,1.0,1.0,2.1,3.4,11.8
PHO,/players/o/onealro01.html,7,Royce O'Neale,30,3,0,21.7,2.3,5.3,.438,2.0,4.3,.462,0.3,1.0,.333,.625,0.3,1.0,.333,0.7,4.3,5.0,3.0,2.3,0.7,0.7,2.3,7.0
PHO,/players/o/okogijo01.html,8,Josh Okogie,25,49,11,17.6,1.6,3.7,.415,0.5,1.7,.289,1.1,2.0,.520,.481,1.4,1.9,.737,1.3,1.5,2.8,1.1,0.9,0.4,0.6,1.3,5.0
POR,/players/g/grantje01.html,1,Jerami Grant,29,47,47,34.0,7.3,16.1,.456,2.1,5.2,.403,5.3,10.9,.481,.521,4.9,6.0,.813,0.7,3.0,3.7,2.7,0.7,0.7,2.0,2.3,21.7
POR,/players/s/simonan01.html,2,Anfernee Simons,24,31,31,33.5,7.9,18.3,.433,3.4,8.8,.388,4.5,9.5,.474,.527,3.7,4.1,.913,0.5,3.1,3.5,5.3,0.5,0.1,2.6,2.2,22.9
POR,/players/s/sharpsh01.html,3,Shaedon Sharpe,20,32,25,33.1,5.5,13.6,.406,1.9,5.6,.333,3.6,7.9,.457,.475,3.1,3.7,.824,1.3,3.7,5.0,2.9,0.9,0.4,2.3,2.8,15.9
POR,/players/a/aytonde01.html,4,Deandre Ayton,25,37,37,31.7,6.4,11.4,.560,0.0,0.0,,6.4,11.4,.560,.560,1.0,1.3,.809,3.0,7.4,10.4,1.7,1.1,0.8,1.7,2.3,13.8
POR,/players/b/brogdma01.html,5,Malcolm Brogdon,31,39,25,28.7,5.6,12.7,.440,2.1,5.1,.412,3.5,7.6,.458,.522,2.4,3.0,.819,0.7,3.1,3.8,5.5,0.7,0.2,1.5,1.5,15.7
POR,/players/h/hendesc01.html,6,Scoot Henderson,19,43,16,27.0,4.4,11.8,.375,1.2,3.9,.310,3.2,7.9,.408,.427,2.8,3.4,.818,0.9,2.1,3.0,4.7,0.6,0.2,3.0,3.0,12.9
POR,/players/c/camarto01.html,7,Toumani Camara,23,53,33,23.6,2.6,6.0,.436,0.8,2.5,.308,1.9,3.6,.524,.498,1.0,1.4,.724,1.8,3.0,4.8,1.0,1.0,0.5,1.2,2.5,7.0
POR,/players/b/bantoda01.html,8,Dalano Banton,24,3,0,23.0,3.3,8.7,.385,0.7,2.3,.286,2.7,6.3,.421,.423,3.3,5.0,.667,0.3,3.0,3.3,2.0,1.0,0.0,2.3,1.0,10.7
SAC,/players/s/sabondo01.html,1,Domantas Sabonis,27,54,54,35.7,8.1,13.1,.622,0.5,1.1,.426,7.6,11.9,.640,.640,3.4,4.9,.697,3.2,10.0,13.2,8.3,0.9,0.5,3.3,3.1,20.1
SAC,/players/f/foxde01.html,2,De'Aaron Fox,26,48,48,35.6,9.6,20.7,.464,2.9,7.8,.376,6.7,12.9,.518,.535,4.6,6.5,.706,0.9,3.2,4.1,5.5,1.9,0.4,2.6,2.6,26.8
SAC,/players/m/murrake02.html,3,Keegan Murray,23,50,50,32.5,5.6,12.3,.459,2.2,6.2,.350,3.5,6.1,.571,.548,1.3,1.7,.807,1.2,4.1,5.3,1.7,1.1,0.6,0.9,2.7,14.8
SAC,/players/b/barneha02.html,4,Harrison Barnes,31,54,54,29.9,4.2,8.7,.483,1.9,4.9,.397,2.3,3.9,.590,.593,1.9,2.3,.820,0.8,2.1,2.9,1.2,0.7,0.2,0.7,1.3,12.2
SAC,/players/m/monkma01.html,5,Malik Monk,25,53,0,25.8,5.3,11.8,.449,2.2,6.0,.375,3.0,5.8,.524,.544,2.3,2.8,.815,0.4,2.4,2.8,5.3,0.6,0.6,2.2,2.1,15.1
SAC,/players/h/huertke01.html,6,Kevin Huerter,25,52,47,25.0,4.1,9.0,.452,2.0,5.5,.368,2.0,3.4,.587,.565,0.7,0.8,.791,0.6,3.0,3.6,2.6,0.7,0.4,0.8,2.1,10.8
SAC,/players/l/lylestr01.html,7,Trey Lyles,28,39,0,20.1,2.6,5.5,.463,1.6,4.1,.405,0.9,1.5,.621,.611,0.8,1.2,.681,0.9,3.6,4.5,1.2,0.3,0.3,0.6,1.5,7.6
SAC,/players/m/mitchda01.html,8,Davion Mitchell,25,44,3,13.2,1.5,3.6,.403,0.6,1.8,.309,0.9,1.8,.500,.481,0.4,0.6,.720,0.2,0.9,1.0,1.7,0.2,0.0,0.6,1.2,3.9
SAS,/players/v/vassede01.html,1,Devin Vassell,23,50,44,31.7,6.9,14.9,.465,2.5,6.7,.369,4.5,8.2,.544,.548,2.5,3.1,.806,0.4,3.3,3.7,3.7,1.1,0.3,1.4,1.0,18.9
SAS,/players/j/johnske04.html,2,Keldon Johnson,24,51,26,29.9,5.9,13.1,.448,1.7,5.2,.330,4.2,7.9,.525,.513,2.6,3.4,.780,1.4,4.3,5.7,3.0,0.9,0.4,1.5,2.3,16.1
SAS,/players/s/sochaje01.html,3,Jeremy Sochan,20,55,54,29.4,4.5,10.1,.442,0.9,2.8,.335,3.5,7.3,.483,.488,1.5,1.9,.774,1.8,4.2,6.0,3.5,0.8,0.5,1.9,2.3,11.4
SAS,/players/w/wembavi01.html,4,Victor Wembanyama,20,49,49,28.4,7.6,16.1,.468,1.6,4.9,.320,6.0,11.2,.534,.517,3.9,4.8,.811,2.1,7.9,10.0,3.2,1.1,3.2,3.5,2.1,20.5
SAS,/players/j/jonestr01.html,5,Tre Jones,24,50,21,26.0,3.8,7.6,.495,0.6,2.3,.278,3.1,5.3,.588,.537,1.4,1.6,.877,0.7,2.5,3.2,5.8,1.0,0.1,1.4,1.2,9.6
SAS,/players/c/colliza01.html,6,Zach Collins,26,43,24,24.2,4.4,9.3,.475,0.8,3.1,.267,3.6,6.1,.582,.520,1.8,2.3,.782,1.8,3.7,5.5,3.1,0.5,0.7,2.0,3.3,11.5
SAS,/players/b/branhma01.html,7,Malaki Branham,20,50,21,20.2,3.3,7.7,.426,1.0,3.1,.310,2.3,4.6,.504,.488,0.6,0.6,.933,0.3,1.6,2.0,2.2,0.4,0.1,1.1,1.2,8.0
SAS,/players/o/osmande01.html,8,Cedi Osman,28,55,1,18.0,2.6,5.6,.474,1.2,3.2,.377,1.4,2.4,.603,.582,0.6,0.9,.680,0.4,2.2,2.5,1.7,0.5,0.2,0.7,1.5,7.1
TOR,/players/b/barnesc01.html,1,Scottie Barnes,22,55,55,35.2,7.5,15.8,.473,1.8,5.1,.353,5.7,10.7,.530,.529,3.3,4.3,.779,2.3,5.8,8.1,6.0,1.2,1.5,2.7,2.0,20.1
TOR,/players/s/siakapa01.html,2,Pascal Siakam,29,39,39,34.7,8.3,16.0,.522,1.2,3.7,.317,7.2,12.3,.584,.559,4.3,5.7,.758,1.4,4.9,6.3,4.9,0.8,0.3,2.1,2.2,22.2
TOR,/players/b/barrerj01.html,3,RJ Barrett,23,19,19,33.7,7.9,14.5,.549,1.4,3.7,.366,6.6,10.7,.613,.596,3.3,5.1,.639,1.2,5.7,6.9,3.5,0.7,0.4,2.1,2.7,20.5
TOR,/players/a/anunoog01.html,4,OG Anunoby,26,27,27,33.3,5.8,11.9,.489,2.3,6.0,.374,3.6,5.9,.608,.584,1.2,1.7,.717,0.9,3.0,3.9,2.7,1.0,0.5,1.6,2.3,15.1
TOR,/players/q/quickim01.html,5,Immanuel Quickley,24,20,20,32.1,5.5,13.7,.401,2.6,6.4,.406,2.9,7.3,.397,.496,2.6,3.2,.825,0.4,3.6,4.0,5.8,0.7,0.2,1.3,1.8,16.2
TOR,/players/s/schrode01.html,6,Dennis Schröder,30,51,33,30.6,4.8,11.0,.442,1.5,4.3,.350,3.3,6.6,.501,.511,2.5,2.9,.852,0.4,2.3,2.7,6.1,0.9,0.2,1.6,2.1,13.7
TOR,/players/p/poeltja01.html,7,Jakob Poeltl,28,44,44,26.8,4.9,7.3,.675,0.0,0.0,,4.9,7.3,.675,.675,1.2,2.2,.557,2.8,5.7,8.5,2.4,0.7,1.5,1.6,3.0,11.0
TOR,/players/t/trentga02.html,8,Gary Trent Jr.,25,50,20,26.3,4.2,10.2,.416,2.4,5.7,.418,1.9,4.5,.413,.532,0.6,0.9,.667,0.2,2.0,2.2,1.5,1.0,0.1,0.7,1.2,11.5
UTA,/players/m/markkla01.html,1,Lauri Markkanen,26,46,46,32.8,7.9,16.2,.491,3.2,8.0,.403,4.7,8.1,.579,.592,4.3,4.8,.887,2.3,6.2,8.6,1.9,0.8,0.5,1.3,1.9,23.4
UTA,/players/c/clarkjo01.html,2,Jordan Clarkson,31,46,19,30.2,6.1,14.8,.415,1.7,5.7,.299,4.4,9.1,.487,.472,3.3,3.8,.879,1.0,2.4,3.3,4.8,0.5,0.1,2.7,1.4,17.3
UTA,/players/c/collijo01.html,3,John Collins,26,52,50,27.8,5.7,10.8,.523,1.2,3.4,.335,4.5,7.4,.610,.576,1.8,2.4,.780,2.3,6.0,8.2,1.2,0.6,0.8,1.4,2.8,14.3
UTA,/players/g/georgke01.html,4,Keyonte George,20,50,19,24.9,3.7,9.5,.391,1.9,5.4,.348,1.8,4.1,.447,.489,2.3,2.9,.818,0.3,2.5,2.8,4.3,0.5,0.1,2.0,1.2,11.7
UTA,/players/s/sextoco01.html,5,Collin Sexton,25,56,33,24.6,6.1,12.5,.487,1.6,4.1,.390,4.5,8.4,.534,.551,4.1,4.7,.868,0.9,1.7,2.6,4.6,0.7,0.2,1.9,2.0,17.9
UTA,/players/k/kesslwa01.html,6,Walker Kessler,22,48,17,23.4,3.8,5.8,.652,0.1,0.4,.222,3.7,5.4,.682,.659,0.9,1.6,.560,2.6,4.9,7.5,0.9,0.5,2.8,1.0,2.2,8.5
UTA,/players/f/fontesi01.html,7,Simone Fontecchio,28,50,34,23.2,3.2,7.2,.450,1.8,4.7,.391,1.4,2.5,.560,.577,0.6,0.8,.800,1.0,2.5,3.5,1.5,0.6,0.4,1.0,1.6,8.9
UTA,/players/o/olynyke01.html,8,Kelly Olynyk,32,50,8,20.4,2.9,5.2,.562,0.7,1.7,.429,2.2,3.5,.626,.632,1.6,1.9,.842,1.3,3.8,5.1,4.4,0.7,0.2,1.6,2.6,8.1
WAS,/players/k/kuzmaky01.html,1,Kyle Kuzma,28,52,52,31.7,8.6,18.8,.456,2.3,6.8,.329,6.3,11.9,.529,.516,2.5,3.1,.801,0.9,5.4,6.3,4.2,0.4,0.7,2.6,2.2,21.8
WAS,/players/p/poolejo01.html,2,Jordan Poole,24,52,52,29.2,5.6,14.0,.400,1.9,6.4,.303,3.7,7.6,.481,.469,2.5,2.9,.859,0.4,2.1,2.4,3.7,1.1,0.3,2.2,3.2,15.6
WAS,/players/j/jonesty01.html,3,Tyus Jones,27,54,54,29.0,5.2,10.5,.500,1.6,3.8,.426,3.6,6.7,.541,.577,0.5,0.7,.778,0.3,2.5,2.8,6.8,1.1,0.3,0.9,0.8,12.6
WAS,/players/a/avdijde01.html,4,Deni Avdija,23,54,54,28.2,5.1,9.8,.521,1.1,2.8,.405,3.9,6.9,.568,.580,2.4,3.3,.740,1.0,5.5,6.6,3.8,0.8,0.4,2.0,2.5,13.8
WAS,/players/c/coulibi01.html,5,Bilal Coulibaly,19,53,5,26.9,3.0,6.7,.444,1.0,2.8,.363,2.0,4.0,.500,.518,1.4,2.0,.702,0.9,3.2,4.1,1.7,0.8,0.8,1.5,2.2,8.3
WAS,/players/g/gaffoda01.html,6,Daniel Gafford,25,45,45,26.5,4.5,6.5,.690,0.0,0.0,,4.5,6.5,.690,.690,1.9,2.6,.706,2.9,5.1,8.0,1.5,1.0,2.2,1.0,3.3,10.9
WAS,/players/b/baglema01.html,7,Marvin Bagley III,24,11,5,24.1,5.5,9.8,.556,0.2,0.5,.333,5.3,9.3,.569,.565,2.7,4.2,.652,4.0,4.3,8.3,1.4,0.5,0.7,1.6,2.6,13.8
WAS,/players/k/kispeco01.html,8,Corey Kispert,24,53,1,22.5,4.3,9.0,.481,2.0,5.6,.361,2.3,3.4,.678,.593,1.3,1.7,.780,0.3,2.2,2.5,1.6,0.4,0.2,1.0,1.6,12.0
