team,player_link,Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Position
ATL,/players/y/youngtr01.html,1,Trae Young,25,48,48,36.6,8.5,19.6,.432,3.4,9.0,.377,5.1,10.6,.477,.518,6.8,7.9,.855,0.4,2.3,2.8,10.8,1.5,0.2,4.4,2.0,27.1,PG
ATL,/players/m/murrade01.html,2,Dejounte Murray,27,50,50,35.1,8.3,17.7,.466,2.3,6.2,.372,5.9,11.5,.517,.532,2.9,3.4,.831,0.7,4.4,5.1,5.3,1.3,0.3,2.2,1.7,21.7,SG
ATL,/players/j/johnsja05.html,3,Jalen Johnson,22,39,36,33.9,6.2,11.9,.525,1.2,3.4,.366,5.0,8.5,.587,.577,2.0,2.6,.748,1.2,7.3,8.5,3.4,1.3,0.8,1.8,2.6,15.7,SF
ATL,/players/b/beysa01.html,4,Saddiq Bey,24,52,40,32.6,4.6,10.8,.422,1.8,5.7,.320,2.8,5.1,.536,.506,2.7,3.2,.831,2.6,4.0,6.6,1.4,0.9,0.1,0.8,1.5,13.6,SF
ATL,/players/b/bogdabo01.html,5,Bogdan Bogdanović,31,51,8,29.0,6.0,14.0,.426,3.1,8.4,.367,2.9,5.6,.514,.536,1.7,1.9,.908,0.6,2.7,3.3,2.7,1.3,0.3,1.1,2.4,16.8,SG
ATL,/players/h/huntede01.html,6,De'Andre Hunter,26,29,24,28.4,4.9,10.4,.470,1.9,4.6,.410,3.0,5.8,.518,.561,2.7,3.1,.878,0.6,3.2,3.8,1.4,0.8,0.3,1.5,2.8,14.4,SF
ATL,/players/c/capelca01.html,7,Clint Capela,29,47,47,25.7,4.8,8.4,.575,0.0,0.0,,4.8,8.4,.575,.575,1.8,2.8,.649,4.8,5.8,10.6,1.0,0.6,1.5,0.9,2.4,11.5,C
ATL,/players/o/okongon01.html,8,Onyeka Okongwu,23,52,7,25.7,4.0,6.6,.609,0.4,1.2,.344,3.6,5.4,.670,.641,1.8,2.2,.805,2.7,4.2,6.9,1.3,0.4,1.1,0.9,3.0,10.2,C
BOS,/players/t/tatumja01.html,1,Jayson Tatum,25,49,49,35.8,9.2,19.4,.473,3.1,8.4,.362,6.1,10.9,.558,.552,5.6,6.9,.819,0.9,7.6,8.4,4.6,1.0,0.6,2.6,2.0,27.0,SF
BOS,/players/h/holidjr01.html,2,Jrue Holiday,33,47,47,33.4,5.0,10.7,.469,2.0,4.7,.428,3.0,6.0,.502,.563,1.2,1.4,.833,1.4,4.6,6.0,4.6,0.8,0.7,1.9,1.6,13.3,PG
BOS,/players/b/brownja02.html,3,Jaylen Brown,27,48,48,33.3,8.6,17.3,.495,1.9,5.6,.344,6.6,11.7,.568,.551,3.0,4.1,.729,1.1,4.4,5.5,3.8,1.1,0.6,2.4,2.6,22.1,SF
BOS,/players/w/whitede01.html,4,Derrick White,29,48,48,32.1,5.4,11.7,.458,2.7,6.7,.398,2.7,5.0,.540,.572,2.1,2.4,.888,0.7,3.3,4.0,4.8,1.0,1.2,1.6,2.2,15.5,SG
BOS,/players/p/porzikr01.html,5,Kristaps Porziņģis,28,38,38,29.8,6.8,12.9,.528,1.8,5.1,.358,5.0,7.8,.639,.598,4.8,5.7,.848,1.6,5.3,6.9,1.9,0.6,1.9,1.7,2.8,20.2,C
BOS,/players/h/horfoal01.html,6,Al Horford,37,43,21,27.0,3.0,6.2,.477,1.7,4.1,.407,1.3,2.1,.618,.613,0.3,0.4,.813,1.3,5.5,6.8,2.9,0.6,1.0,0.8,1.5,7.9,C
BOS,/players/h/hausesa01.html,7,Sam Hauser,26,51,5,21.6,2.8,6.4,.440,2.2,5.5,.409,0.6,0.9,.630,.615,0.3,0.3,.882,0.6,2.8,3.4,1.0,0.4,0.3,0.5,1.3,8.1,SF
BOS,/players/p/pritcpa01.html,8,Payton Pritchard,26,52,0,20.7,2.8,6.6,.426,1.7,4.5,.371,1.2,2.1,.541,.551,0.6,0.7,.811,0.9,2.3,3.2,2.8,0.4,0.1,0.6,1.3,7.8,PG
BRK,/players/b/bridgmi01.html,1,Mikal Bridges,27,52,52,35.3,7.7,16.9,.453,2.6,6.9,.372,5.1,10.0,.509,.528,3.9,4.8,.826,0.8,4.1,4.9,3.7,0.9,0.4,2.3,1.6,21.8,"SF,SG"
BRK,/players/d/dinwisp01.html,2,Spencer Dinwiddie,30,48,48,30.7,4.1,10.4,.391,1.9,5.8,.320,2.2,4.6,.480,.480,2.6,3.3,.781,0.5,2.8,3.3,6.0,0.8,0.2,1.3,1.8,12.6,"PG,SG"
BRK,/players/t/thomaca02.html,3,Cam Thomas,22,43,28,29.7,7.7,17.4,.441,2.0,5.5,.361,5.7,11.9,.479,.499,4.0,4.8,.836,0.3,2.5,2.9,2.6,0.7,0.3,1.8,2.0,21.4,SG
BRK,/players/c/claxtni01.html,4,Nic Claxton,24,42,42,29.6,5.4,8.7,.625,0.0,0.1,.250,5.4,8.6,.629,.626,1.5,2.6,.573,3.0,7.3,10.3,1.9,0.7,2.3,1.2,2.5,12.4,C
BRK,/players/f/finnedo01.html,5,Dorian Finney-Smith,30,43,32,28.7,3.3,8.0,.410,2.1,5.4,.380,1.2,2.6,.473,.539,0.3,0.5,.636,1.7,3.1,4.8,1.5,0.7,0.6,0.8,2.3,9.0,PF
BRK,/players/j/johnsca02.html,6,Cameron Johnson,27,40,40,28.5,5.2,11.3,.458,2.5,6.2,.401,2.7,5.1,.527,.568,1.2,1.6,.742,1.1,3.6,4.7,2.6,0.8,0.3,1.0,1.9,13.9,PF
BRK,/players/s/schrode01.html,7,Dennis Schröder,30,1,0,27.0,6.0,13.0,.462,3.0,5.0,.600,3.0,8.0,.375,.577,0.0,0.0,,0.0,3.0,3.0,12.0,0.0,0.0,2.0,4.0,15.0,PG
BRK,/players/s/simmobe01.html,8,Ben Simmons,27,11,9,25.8,3.4,5.4,.627,0.0,0.0,,3.4,5.4,.627,.627,0.3,0.7,.375,2.4,6.3,8.6,6.4,0.8,0.7,2.2,2.5,7.0,PG
CHI,/players/d/derozde01.html,1,DeMar DeRozan,34,51,51,37.6,7.8,16.6,.468,1.0,2.8,.340,6.8,13.8,.494,.496,6.0,7.1,.853,0.6,3.5,4.1,5.2,1.2,0.6,1.5,2.2,22.5,SF
CHI,/players/w/whiteco01.html,2,Coby White,23,53,53,36.3,6.9,15.0,.459,2.8,7.2,.395,4.1,7.8,.518,.554,2.7,3.2,.826,0.5,4.2,4.7,5.2,0.7,0.2,2.2,2.3,19.3,SG
CHI,/players/l/lavinza01.html,3,Zach LaVine,28,25,23,34.9,6.8,15.0,.452,2.4,6.8,.349,4.4,8.3,.536,.531,3.5,4.1,.854,0.3,4.8,5.2,3.9,0.8,0.3,2.1,2.3,19.5,SG
CHI,/players/v/vucevni01.html,4,Nikola Vučević,33,48,46,34.4,7.5,15.8,.476,1.1,4.2,.275,6.4,11.6,.548,.512,1.4,1.6,.867,2.7,7.9,10.6,3.5,0.7,0.9,1.5,2.5,17.5,C
CHI,/players/w/willipa01.html,5,Patrick Williams,22,43,30,27.3,3.7,8.3,.443,1.4,3.4,.399,2.3,4.9,.474,.525,1.2,1.5,.788,1.1,2.8,3.9,1.5,0.9,0.8,1.3,2.0,10.0,PF
CHI,/players/c/carusal01.html,6,Alex Caruso,29,46,34,27.1,3.4,7.1,.482,1.7,4.3,.399,1.7,2.8,.608,.602,1.2,1.5,.775,1.0,2.8,3.8,2.8,1.3,1.2,1.4,2.5,9.8,PG
CHI,/players/d/dosunay01.html,7,Ayo Dosunmu,24,51,12,25.0,3.8,7.6,.500,1.3,3.2,.398,2.5,4.4,.573,.583,0.9,1.2,.780,0.6,1.9,2.5,2.2,0.8,0.5,1.0,2.1,9.7,SG
CHI,/players/c/craigto01.html,8,Torrey Craig,33,31,7,20.8,2.1,5.0,.417,1.1,2.9,.367,1.0,2.1,.485,.522,0.6,0.8,.800,1.7,2.9,4.7,1.0,0.6,0.4,0.6,2.3,5.9,PF
CHO,/players/b/bridgmi02.html,1,Miles Bridges,25,41,39,37.1,8.2,17.8,.464,2.5,6.6,.373,5.8,11.2,.517,.533,2.7,3.2,.855,0.9,6.2,7.1,3.3,1.0,0.6,2.0,1.9,21.7,
CHO,/players/r/roziete01.html,2,Terry Rozier,29,30,30,35.5,8.4,18.3,.459,2.8,7.7,.358,5.6,10.6,.533,.535,3.6,4.3,.845,0.6,3.3,3.9,6.6,1.1,0.4,2.2,1.7,23.2,SG
CHO,/players/b/ballla01.html,3,LaMelo Ball,22,22,22,32.3,8.3,19.2,.433,3.2,9.0,.355,5.1,10.3,.500,.515,4.1,4.7,.865,1.3,3.8,5.1,8.0,1.8,0.2,3.8,3.6,23.9,PG
CHO,/players/w/willigr01.html,4,Grant Williams,25,1,0,32.0,5.0,11.0,.455,3.0,6.0,.500,2.0,5.0,.400,.591,2.0,2.0,1.000,0.0,8.0,8.0,1.0,0.0,0.0,2.0,0.0,15.0,PF
CHO,/players/h/haywago01.html,5,Gordon Hayward,33,25,25,31.9,5.6,11.9,.468,0.9,2.4,.361,4.7,9.4,.496,.505,2.5,3.2,.765,1.0,3.7,4.7,4.6,1.1,0.5,2.0,1.8,14.5,SF
CHO,/players/m/millebr02.html,6,Brandon Miller,21,46,40,31.4,6.2,14.0,.444,2.3,6.0,.384,3.9,8.0,.489,.526,1.8,2.2,.824,0.8,3.2,4.0,2.3,0.8,0.5,1.7,2.6,16.5,
CHO,/players/w/washipj01.html,7,P.J. Washington,25,44,17,29.2,5.2,11.6,.446,1.8,5.5,.324,3.4,6.0,.558,.524,1.5,2.1,.713,1.2,4.1,5.3,2.2,0.9,0.7,1.5,2.5,13.6,PF
CHO,/players/m/manntr01.html,8,Tre Mann,22,1,1,27.0,4.0,11.0,.364,1.0,5.0,.200,3.0,6.0,.500,.409,0.0,0.0,,1.0,3.0,4.0,9.0,2.0,0.0,2.0,1.0,9.0,PG
CLE,/players/m/mitchdo01.html,1,Donovan Mitchell,27,42,42,35.3,9.9,20.9,.475,3.3,9.2,.361,6.6,11.7,.565,.555,5.0,5.8,.864,1.0,4.5,5.4,6.3,1.9,0.5,2.8,2.1,28.2,SG
CLE,/players/s/strusma01.html,2,Max Strus,27,51,51,32.4,4.5,10.9,.408,2.4,7.2,.338,2.0,3.7,.545,.520,1.0,1.3,.781,0.8,4.2,5.0,3.7,0.9,0.5,1.5,2.5,12.3,SF
CLE,/players/g/garlada01.html,3,Darius Garland,24,27,27,31.9,6.7,14.3,.469,1.6,4.9,.326,5.1,9.4,.543,.525,3.3,3.9,.857,0.5,1.9,2.4,5.8,1.4,0.1,3.4,1.4,18.3,PG
CLE,/players/m/mobleev01.html,4,Evan Mobley,22,28,28,31.4,6.7,11.4,.584,0.3,0.8,.381,6.4,10.7,.599,.597,2.3,3.0,.771,2.4,7.9,10.3,2.9,0.8,1.4,2.0,2.9,15.9,PF
CLE,/players/a/allenja01.html,5,Jarrett Allen,25,46,46,30.5,6.4,9.9,.644,0.0,0.1,.000,6.4,9.8,.650,.644,2.8,3.7,.747,3.6,7.1,10.6,2.8,0.8,1.2,1.8,2.3,15.5,C
CLE,/players/l/leverca01.html,6,Caris LeVert,29,41,1,27.6,5.4,12.5,.428,1.8,5.1,.341,3.6,7.4,.488,.498,2.2,3.0,.748,0.5,3.1,3.6,4.3,1.0,0.4,1.5,1.7,14.7,SG
CLE,/players/o/okorois01.html,7,Isaac Okoro,23,42,24,26.3,3.2,6.5,.494,1.0,2.5,.381,2.2,4.0,.566,.568,1.5,2.2,.677,1.2,2.0,3.1,1.9,0.9,0.5,0.8,2.0,8.8,SF
CLE,/players/n/niangge01.html,8,Georges Niang,30,51,1,21.8,3.4,7.7,.434,1.7,4.8,.358,1.6,2.9,.561,.546,0.6,0.7,.868,0.3,3.3,3.6,1.3,0.2,0.2,0.7,2.4,9.1,PF
DAL,/players/d/doncilu01.html,1,Luka Dončić,24,45,45,37.6,11.6,23.7,.491,4.0,10.4,.380,7.7,13.3,.577,.574,7.3,9.4,.776,0.8,8.0,8.8,9.4,1.4,0.6,3.9,2.0,34.5,PG
DAL,/players/i/irvinky01.html,2,Kyrie Irving,31,31,31,33.6,9.5,19.6,.483,2.9,7.0,.417,6.5,12.6,.519,.557,3.4,3.8,.889,0.7,4.3,5.0,5.5,1.3,0.4,1.6,1.9,25.2,"PG,SG"
DAL,/players/h/hardati02.html,3,Tim Hardaway Jr.,31,50,10,30.0,6.0,14.4,.419,3.2,8.8,.368,2.8,5.7,.498,.531,2.4,2.8,.877,0.3,3.3,3.6,1.7,0.5,0.0,0.9,1.5,17.7,SF
DAL,/players/g/greenjo02.html,4,Josh Green,23,40,23,27.5,3.4,7.0,.484,1.5,3.6,.406,1.9,3.4,.566,.588,0.8,1.2,.660,0.6,2.7,3.3,2.6,0.8,0.2,1.1,2.0,9.0,SG
DAL,/players/w/willigr01.html,5,Grant Williams,25,47,33,26.4,2.8,6.7,.413,1.7,4.5,.376,1.1,2.3,.486,.538,0.9,1.2,.745,1.0,2.6,3.6,1.7,0.5,0.6,1.1,2.9,8.1,PF
DAL,/players/l/livelde01.html,6,Dereck Lively II,19,36,35,26.0,4.2,5.6,.739,0.0,0.1,.000,4.2,5.6,.746,.739,0.9,1.6,.544,2.9,5.0,7.9,1.3,0.6,1.4,1.2,3.1,9.2,
DAL,/players/j/jonesde02.html,7,Derrick Jones Jr.,26,48,47,25.7,3.6,7.4,.489,1.3,3.7,.343,2.4,3.7,.635,.574,1.4,1.9,.744,1.1,2.6,3.7,1.1,0.8,0.8,0.9,1.9,9.9,PF
DAL,/players/w/washipj01.html,8,P.J. Washington,25,1,0,24.0,6.0,10.0,.600,1.0,4.0,.250,5.0,6.0,.833,.650,1.0,2.0,.500,1.0,4.0,5.0,1.0,1.0,0.0,2.0,3.0,14.0,PF
DEN,/players/j/jokicni01.html,1,Nikola Jokić,28,51,51,33.8,10.2,17.5,.583,1.1,2.9,.365,9.2,14.6,.627,.613,4.7,5.7,.819,3.0,9.1,12.2,9.0,1.2,0.9,3.0,2.5,26.2,C
DEN,/players/c/caldwke01.html,2,Kentavious Caldwell-Pope,30,49,49,32.4,3.6,8.0,.446,1.5,3.9,.381,2.1,4.1,.507,.538,1.7,1.8,.920,0.4,1.9,2.3,2.3,1.3,0.5,1.0,2.0,10.2,SG
DEN,/players/g/gordoaa01.html,3,Aaron Gordon,28,47,47,31.8,5.4,9.8,.545,0.6,1.8,.302,4.8,8.0,.601,.574,2.3,3.7,.624,2.5,4.0,6.5,3.1,0.8,0.7,1.3,1.9,13.6,PF
DEN,/players/m/murraja01.html,4,Jamal Murray,26,39,39,31.8,7.9,16.7,.470,2.5,6.0,.412,5.4,10.8,.502,.544,2.7,3.2,.849,0.7,3.3,4.0,6.6,0.8,0.7,2.0,1.9,20.9,PG
DEN,/players/p/portemi01.html,5,Michael Porter Jr.,25,52,52,31.5,6.2,13.0,.473,2.7,6.8,.396,3.4,6.2,.559,.578,1.0,1.2,.781,1.3,5.7,7.0,1.4,0.4,0.8,1.1,1.9,16.0,SF
DEN,/players/j/jacksre01.html,6,Reggie Jackson,33,53,14,23.0,4.3,9.5,.457,1.3,3.5,.373,3.0,6.0,.506,.526,1.0,1.3,.776,0.4,1.7,2.1,3.9,0.6,0.2,1.3,1.9,10.9,PG
DEN,/players/b/braunch01.html,7,Christian Braun,22,53,0,18.9,2.5,5.7,.447,0.7,1.8,.368,1.9,3.9,.483,.505,1.2,1.7,.742,0.8,2.6,3.5,1.4,0.4,0.4,0.7,1.5,7.0,SG
DEN,/players/w/watsope01.html,8,Peyton Watson,21,51,4,18.3,2.7,5.6,.479,0.7,2.1,.336,2.0,3.5,.565,.542,0.9,1.4,.696,0.6,2.2,2.9,1.0,0.6,0.9,0.7,1.8,7.0,SG
DET,/players/c/cunnica01.html,1,Cade Cunningham,22,42,42,34.4,8.4,18.6,.450,1.8,5.3,.339,6.6,13.4,.493,.497,3.8,4.5,.861,0.4,3.6,4.0,7.5,1.0,0.3,3.6,2.7,22.4,PG
DET,/players/b/bogdabo02.html,2,Bojan Bogdanović,34,28,27,32.9,7.1,15.2,.468,3.1,7.4,.415,4.0,7.8,.518,.569,2.9,3.7,.779,0.5,2.9,3.4,2.5,0.8,0.1,2.3,2.0,20.2,PF
DET,/players/f/fontesi01.html,3,Simone Fontecchio,28,1,0,32.0,8.0,19.0,.421,3.0,9.0,.333,5.0,10.0,.500,.500,1.0,1.0,1.000,2.0,7.0,9.0,1.0,1.0,0.0,1.0,1.0,20.0,SF
DET,/players/s/stewais01.html,4,Isaiah Stewart,22,35,34,30.6,4.1,8.6,.470,1.4,3.7,.374,2.7,4.9,.544,.551,1.5,2.0,.746,1.8,5.0,6.8,1.7,0.4,0.8,1.5,2.5,11.0,C
DET,/players/d/durenja01.html,5,Jalen Duren,20,37,36,30.4,6.3,9.8,.641,0.0,0.1,.000,6.3,9.7,.646,.641,1.8,2.4,.742,3.4,8.8,12.2,2.5,0.4,0.8,2.0,3.3,14.3,C
DET,/players/i/iveyja01.html,6,Jaden Ivey,21,48,32,27.9,5.5,11.9,.462,1.6,4.3,.374,3.9,7.6,.512,.530,2.9,4.0,.720,1.4,2.5,3.9,3.7,0.7,0.6,2.5,2.8,15.5,SG
DET,/players/h/hayeski01.html,7,Killian Hayes,22,42,31,24.0,2.8,6.7,.413,0.5,1.8,.297,2.3,5.0,.455,.452,0.8,1.2,.660,0.3,2.6,2.8,4.9,0.9,0.5,1.2,1.8,6.9,PG
DET,/players/t/thompau01.html,8,Ausar Thompson,21,52,27,23.8,3.5,7.3,.476,0.2,1.6,.146,3.3,5.7,.567,.492,1.2,1.8,.638,2.2,4.4,6.6,1.9,1.0,0.9,1.3,2.8,8.3,
GSW,/players/c/curryst01.html,1,Stephen Curry,35,47,47,33.4,9.1,19.7,.464,5.0,11.8,.421,4.1,7.9,.528,.590,4.8,5.2,.927,0.5,3.9,4.4,4.8,0.8,0.4,3.0,1.8,28.1,PG
GSW,/players/t/thompkl01.html,2,Klay Thompson,33,47,47,30.6,5.9,14.4,.413,3.2,8.7,.373,2.7,5.7,.476,.526,1.8,1.9,.912,0.5,2.9,3.4,2.3,0.6,0.6,1.6,1.9,16.9,SF
GSW,/players/p/paulch01.html,3,Chris Paul,38,32,11,27.6,3.3,7.7,.424,1.3,3.7,.361,1.9,3.9,.484,.512,1.1,1.3,.833,0.3,3.5,3.8,7.2,1.1,0.1,1.2,1.8,8.9,PG
GSW,/players/w/wiggian01.html,4,Andrew Wiggins,28,45,34,27.0,4.8,10.7,.443,1.0,3.2,.317,3.8,7.6,.496,.490,1.8,2.6,.709,1.6,2.7,4.3,1.6,0.5,0.5,1.2,2.3,12.4,SF
GSW,/players/g/greendr01.html,5,Draymond Green,33,26,23,26.8,3.4,6.8,.503,1.0,2.5,.400,2.4,4.3,.563,.576,1.3,1.6,.786,1.3,5.2,6.5,6.2,0.7,0.9,2.6,3.1,9.1,PF
GSW,/players/p/podzibr01.html,6,Brandin Podziemski,20,44,13,26.2,3.8,8.3,.456,1.1,3.2,.355,2.7,5.1,.520,.525,0.8,1.2,.642,1.5,4.3,5.8,3.7,0.9,0.2,1.2,2.0,9.5,
GSW,/players/k/kuminjo01.html,7,Jonathan Kuminga,21,49,23,25.4,5.9,11.1,.535,0.8,2.5,.314,5.2,8.6,.598,.570,3.0,4.1,.721,1.2,3.4,4.7,1.8,0.7,0.4,1.6,2.2,15.6,PF
